book_name,author,language,physically_exists,status,notes
Stratejik Pazarlama,Harvard Business Review Press,Turkish,true,completed,interesting book for sales
HBR's 10 Must Reads on Managing People,Harvard Business Review Press,English,true,completed,bullshit
HBR On Leadership,Harvard Business Review Press,English,true,completed,bullshit
HBR's 10 Must Reads on Making Smart Decisions,Harvard Business Review Press,English,true,completed,bullshit
HBR's 10 Must Reads on Teams,Harvard Business Review Press,English,true,completed,bullshit
Kralların Çarpışması 1,George R. R. Martin,Turkish,true,completed,
Kralların Çarpışması 2,George R. R. Martin,Turkish,true,completed,
Taht oyunları,George R. R. Martin,Turkish,true,completed,
Kılıçların Fırtınası Kısım 1,George R. R. Martin,Turkish,true,completed,
Kılıçların Fırtınası Kısım 2,George R. R. Martin,Turkish,true,completed,
Ateş ve Kan,George R. R. Martin,Turkish,true,completed,
Ejderhaların Dansı. Kısım 1,George R. R. Martin,Turkish,true,completed,
Ejderhaların Dansı. Kısım 2,George R. R. Martin,Turkish,true,completed,
Kargaların Ziyafeti. Kısım 1,George R. R. Martin,Turkish,true,completed,
Kargaların Ziyafeti. Kısım 2,George R. R. Martin,Turkish,true,completed,
Buz Ejderhasi,George R. R. Martin,Turkish,true,completed,
Da Vinci Şifresi,Dan Brown,Azerbaijani,true,completed,
Cehennem,Dan Brown,Turkish,false,completed,
Başlangıç,Dan Brown,Turkish,true,completed,
Dijital Kale,Dan Brown,Turkish,true,completed,
Itirilmiş Simvol,Dan Brown,Azerbaijani,true,completed,
Ihanet noktasi,Dan Brown,Turkish,true,completed,
Foundation's Edge,Isaac Asimov,Turkish,true,completed,
Second Foundation,Isaac Asimov,Turkish,true,completed,
Foundation and Empire,Isaac Asimov,Turkish,true,completed,
Foundation,Isaac Asimov,Turkish,true,completed,
Kendine Iyi Davran Güzel Insan,Beyhan Budak,Turkish,true,completed,
Aklındakini Okuyabilirim,David J. Lieberman,Turkish,true,completed,
The Social Brain: The Psychology of Successful Groups,Robin Dunbar and Samantha Rockey and Tracey Camilleri,English,true,completed,
Stressə qarşı peyvənd. Öz həyatının sahibi ol,Valeri Sinelnikov,Azerbaijani,true,completed,
Hayır Diyebilme Sanatı,Müthiş Psikoloji,Turkish,true,completed,
Education of the Will: The Theory and Practice of Self-Culture,Jules Payot,Turkish,true,completed,
Aklın Yeni Sınırları,Daniel H. Pink,Turkish,true,completed,
Thinking Fast and Slow,Daniel Kahneman,Turkish,true,completed,everyone should read this book
Kitleler Psikolojisi,Gustave Le Bon,Turkish,true,completed,
It Didn't Start with You,Mark Wolynn,Turkish,true,completed,
Psixologiya,A.S.Bayramov and A.A. Alizada,Azerbaijani,true,completed,
Mutlu Beyin,Loretta Graziano Breuning,Turkish,true,completed,
Atomik Alışkanlıklar,James Clear,Turkish,true,completed,everyone should read this book
Travma ve İyileşme,Judith Herman,Turkish,true,completed,
Para Yönetimi,Alfred Mill,Turkish,true,completed,
Lean startup,Eric Ries,Azerbaijani,true,completed,
Rich Dad Poor Dad,Robert Kiyosaki,Turkish,true,completed,
Para Kazanmak Senin Elinde,Jen Sincero,Turkish,true,completed,
Zənginliyin açarı,Napoleon Hill,Azerbaijani,true,completed,
Milyarder ve keşiş,Vibhor Kumar Singh,Turkish,true,completed,
Discover Your Destiny with the Monk Who Sold His Ferrari,Robin Sharma,Turkish,true,completed,
Paranın Satın Alamayacağı Şeyler,Michael J. Sandel,Turkish,true,completed,
Paranın Psikolojisi,Morgan Housel,Turkish,true,completed,
Büyük Yatırımcılar,Glen Arnold,Turkish,true,completed,
The Intelligent Investor,Benjamin Graham,Turkish,true,completed,
Milyoner Aklin Sirlari,T. Harv Eker,Turkish,true,completed,
Richest man in Babylon,George S. Clason,Turkish,true,completed,
Buyology, Martin Lindstrom,English,true,completed,
Satışın Kutsal Kitabı,Jeffrey Gitomer,Turkish,true,completed,
Necə böyük rəhbər olmalı,Jeffrey J. Fox,Azerbaijani,true,completed,
Necə Güclü Rəqib Olmaq Olar,Jeffrey J. Fox,Azerbaijani,true,completed,
Big Data,Victor Mayer-Schönberger and Kenneth Cukier,English,true,completed,
Büyük Veri İş Başında,Bernard Marr,Turkish,true,completed,
A-dan Z-yə marketinq,Philip Kotler,Azerbaijani,true,completed,
Marketinqdə 10 Ölümcül Qüsur,Philip Kotler,Azerbaijani,true,completed,
Mor inek,Seth Godin,Turkish,true,completed,
The Big Zero,Kris Timmermans and Rodrigo Abdalla,English,true,completed,
Tanrı Olmak Zor İş,Boris Strugatski and Arkadi Strugatski,Turkish,true,completed,
1984,George Orwell,Turkish,true,completed,
Oliver Twist,Charles Dickens,Turkish,true,completed,
The Twelve Chairs,Ilf Petrov and Yevgeny Petrov,Turkish,true,completed,
Asla Arkana Bakma,Tess Gerritsen,Turkish,true,completed,
Elə həmin Elis,Layza Cenova,Azerbaijani,true,completed,
My Sweet Orange Tree,José Mauro de Vasconcelos,Turkish,true,completed,
The Kite Runner,Khaled Hosseini,Turkish,true,completed,
And The Mountains Echoed, Khaled Hosseini,Azerbaijani,false,completed,sad
Gentleman Burglar,Maurice Leblanc,Turkish,true,completed,
The Tartar Steppe,Dino Buzzati,Turkish,true,completed,
Ikigai,Francesc Miralles and Hector Garcia,Turkish,true,completed,
Ichigo Ichiye,Francesc Miralles and Hector Garcia,Turkish,true,completed,
Ikigai for teens,Francesc Miralles and Hector Garcia,Turkish,true,completed,
Prince,Niccolò Machiavelli,Turkish,true,completed,
The Papalagi,Erich Scheurmann,Turkish,true,completed,
Peaky Blinders,Carl Chinn,English,true,completed,
Gnosis,Adam Fawer,Turkish,true,completed,
Improbables,Adam Fawer,Turkish,true,completed,
Mobius,Adam Fawer,Turkish,true,completed,
Arxadakı Körpüləri Yandırın,Rövşən Abdullaoğlu,Azerbaijani,true,completed,
Əsarət,Rövşən Abdullaoğlu,Azerbaijani,true,completed,
Dürtme,Richard H. Thaler and Cass R. Sunstein,Turkish,true,completed,
Öfke Terbiyesi,Aaron Karmin,Turkish,true,completed,
Welcome to Your Brain,Sandra Aamodt and Sam Wang,Turkish,true,completed,
Akıldışının Mantığı,Dan Ariely,Turkish,true,completed,
İradə gücünün instinkti,Kelli Makqoniqal,Azerbaijani,true,completed,
The Power of Habit,Charles Duhigg,Turkish,true,completed,
Düsüncenin Maddesi,Steven Pinker,Turkish,true,completed,
Enneagram,İsmail Acarkan,Turkish,true,completed,
Elestirel Düsünme Icin Bir Rehber,Vincent Ryan Ruggiero,Turkish,true,completed,
Subliminal,Leonard Mlodinow,Turkish,true,completed,
Məntiqli düşünmə sənəti,Rolf Dobelli,Azerbaijani,true,completed,
Sadeliğin Dayanılmaz Hafifliği,Courtney Carver,Turkish,true,completed,
Reboot,Jason Stockwood,English,true,completed,
Motivasyon Rehberi,Roman Gelperin,Turkish,true,completed,
6 Deha Modeli,Patrick Lencioni,Turkish,true,completed,
Etkili insanlarin 7 Alışkanlığı,Stephen R. Covey,Turkish,true,completed,
Rağmenciler,Mümin Sekman,Turkish,true,completed,
Fırtınaya Karşı,Marshall Goldsmith,Turkish,true,completed,
Zor Zamanlar Güzel Kapilar Acar,Nebi Yıldız,Turkish,true,completed,
Yol Senin Icinde,Kinsun,Turkish,true,completed,
İkna Oyunları,Henrik Fexeus,Turkish,true,completed,
The secret of letting go,Guy Finley,Turkish,true,completed,
Yaşam Sanatı,Bob Proctor and Sandra Gallagher,Turkish,true,completed,
Screw It Let's Do It ,Richard Branson,Turkish,true,completed,
The Subtle Art of Not Giving a F*ck,Mark Manson,Turkish,true,completed,
Outliers,Malcolm Gladwell,Turkish,true,completed,
Hatalar Kitabı,Skip Prichard,Turkish,true,completed,
Range,David Epstein,English,true,completed,
Factfullness,Hans Rosling Ola Rosling and Anna Rosling Rönnlund,English,true,completed,
Power,Rhonda Byrne,Turkish,true,completed,
No Excuses!,Brian Tracy,Azerbaijani,true,completed,
5 Saniye Kurali,Mel Robbins,Turkish,true,completed,
Kaos: Dağınıklığın Hayatlarımızı Değiştirme Gücü,Tim Harford,Turkish,true,completed,
Yaradıcı düşünmə sənəti,Rod Cadkins,Turkish,true,completed,
Gut: The Inside Story of Our Body's Most Underrated Organ,Giulia Enders,Turkish,true,completed,
Həyatım və işim,Henry Ford,Azerbaijani,true,completed,
A Brief History of Time,Stephen Hawking,Turkish,true,completed,
Yeni Başlayanlar İçin Python,Ahmet Aksoy,Turkish,true,completed,
How You Learn Is How You Live: Using Nine Ways of Learning to Transform Your Life,Kay Peterson and David Kolb,English,true,completed,   
Statistics 101,David Borman,English,true,completed,
The Singularity Is Near: When Humans Transcend Biology,Ray Kurzweil,Turkish,true,completed,
